index,r,theta_pi,phi_pi,threshold_fidelity,qubit_fidelity,qutrit_fidelity,qubit_passed,qutrit_passed
1,0.905,0.75,-0.5,1.0,0.967,0.993,False,False
2,0.905,0.25,-0.5,1.0,0.972,0.994,False,False
3,0.569,0.75,-0.5,0.99,0.96,0.986,False,False
4,0.569,0.25,-0.5,0.99,0.966,0.982,False,False
5,0.333,0.75,-0.5,0.966,0.957,0.98,False,True
6,0.333,0.25,-0.5,0.966,0.959,0.984,False,True
7,0.159,0.75,-0.5,0.919,0.951,0.987,True,True
8,0.159,0.25,-0.5,0.919,0.961,0.949,True,True
9,0.026,0.75,-0.5,0.81,0.95,0.977,True,True
10,0.026,0.25,-0.5,0.81,0.962,0.973,True,True
11,0.905,0.25,0.5,1.0,0.967,0.987,False,False
12,0.905,0.75,0.5,1.0,0.969,0.981,False,False
13,0.569,0.25,0.5,0.99,0.963,0.973,False,False
14,0.569,0.75,0.5,0.99,0.961,0.982,False,False
15,0.333,0.25,0.5,0.966,0.961,0.979,False,True
16,0.333,0.75,0.5,0.966,0.958,0.979,False,True
17,0.159,0.25,0.5,0.919,0.961,0.958,True,True
18,0.159,0.75,0.5,0.919,0.956,0.983,True,True
19,0.026,0.25,0.5,0.81,0.957,0.983,True,True
20,0.026,0.75,0.5,0.81,0.941,0.948,True,True
21,0.905,0.5,1.25,1.0,0.964,0.992,False,False
22,0.905,0.5,0.75,1.0,0.969,0.984,False,False
23,0.905,0.5,0.25,1.0,0.96,0.99,False,False
24,0.905,0.5,-0.25,1.0,0.964,0.99,False,False
25,0.569,0.5,1.25,0.99,0.959,0.97,False,False
26,0.569,0.5,0.75,0.99,0.963,0.976,False,False
27,0.569,0.5,0.25,0.99,0.958,0.975,False,False
28,0.569,0.5,-0.25,0.99,0.957,0.988,False,False
29,0.333,0.5,1.25,0.966,0.951,0.977,False,True
30,0.333,0.5,0.75,0.966,0.955,0.984,False,True
31,0.333,0.5,0.25,0.966,0.952,0.981,False,True
32,0.333,0.5,-0.25,0.966,0.954,0.982,False,True
33,0.159,0.5,1.25,0.919,0.943,0.982,True,True
34,0.159,0.5,0.75,0.919,0.949,0.987,True,True
35,0.159,0.5,0.25,0.919,0.948,0.989,True,True
36,0.159,0.5,-0.25,0.919,0.942,0.978,True,True
37,0.026,0.5,1.25,0.81,0.932,0.98,True,True
38,0.026,0.5,0.75,0.81,0.934,0.969,True,True
39,0.026,0.5,0.25,0.81,0.944,0.977,True,True
40,0.026,0.5,-0.25,0.81,0.94,0.987,True,True
