raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9491,268,241,9876,124,0
4832,4979,189,4631,5276,93
5498,4321,181,5471,4416,113
751,9014,235,57,9922,21
5570,4145,285,5460,4540,0
4828,5037,135,4790,5175,35
5589,4017,394,5573,4311,116
9487,207,306,9824,0,176
4825,5002,173,4624,5341,35
4595,5191,214,4434,5531,34
788,8899,313,145,9656,199
5382,4230,388,5323,4517,160
4920,4940,140,4790,5210,0
5220,4458,322,5217,4684,99
9756,144,100,9947,20,33
4965,4714,321,4936,4950,114
4910,4798,292,4724,5173,103
712,8844,444,188,9685,127
