raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8930,176,894,9211,7,782
5403,3733,864,5361,3847,792
4526,4486,988,4366,4814,820
790,5948,3262,364,6059,3577
4282,2157,3561,4068,2000,3932
3476,2878,3646,3117,3048,3836
5910,3358,732,5826,3608,566
8738,377,885,9143,179,679
4796,4332,872,4508,4883,609
3719,2519,3762,3351,2648,4001
740,4474,4786,123,5861,4017
3194,2630,4176,2889,3182,3929
5231,2487,2282,4954,2845,2201
4885,2040,3075,4755,2941,2303
7284,453,2263,7606,313,2081
4304,3087,2609,4108,3387,2505
4866,2337,2797,4547,3091,2362
1032,4752,4216,72,7330,2597
